Filename,Component,Volume,Centerline Length
sub001_pos-supine_scan-1.mha,1,1718274.0,5459
sub003_pos-supine_scan-1.mha,1,2064235.0,7422
sub003_pos-prone_scan-1.mha,1,1845615.0,22728
sub004_pos-prone_scan-1.mha,1,1607095.0,8178
sub004_pos-supine_scan-1.mha,1,1651898.0,9031
sub005_pos-supine_scan-1.mha,1,1189179.0,8589
sub005_pos-supine_scan-1.mha,2,681.0,46
sub005_pos-supine_scan-1.mha,3,123.0,7
sub005_pos-supine_scan-1.mha,4,628.0,43
sub005_pos-supine_scan-1.mha,5,307.0,7
sub005_pos-supine_scan-1.mha,6,118.0,2
sub005_pos-supine_scan-1.mha,7,113.0,6
sub005_pos-prone_scan-1.mha,1,1329884.0,11453
sub005_pos-prone_scan-1.mha,2,100.0,1
sub005_pos-prone_scan-1.mha,3,222.0,12
sub005_pos-prone_scan-1.mha,4,106.0,6
sub005_pos-prone_scan-1.mha,5,157.0,3
sub006_pos-supine_scan-1.mha,1,2149576.0,18287
sub007_pos-prone_scan-1.mha,1,1674793.0,6210
sub007_pos-supine_scan-1.mha,1,1733357.0,4838
sub009_pos-supine_scan-1.mha,1,1413685.0,2292
sub012_pos-prone_scan-1.mha,1,1392278.0,13427
sub012_pos-prone_scan-1.mha,2,300.0,2
sub014_pos-supine_scan-1.mha,1,1348350.0,5162
sub015_pos-prone_scan-1.mha,1,1690384.0,21054
sub016_pos-prone_scan-1.mha,1,610744.0,73665
sub016_pos-prone_scan-1.mha,2,687873.0,15494
sub016_pos-supine_scan-1.mha,1,1531633.0,44824
sub017_pos-supine_scan-1.mha,1,1218835.0,7937
sub017_pos-supine_scan-1.mha,2,128.0,1
sub017_pos-prone_scan-1.mha,1,1431730.0,8809
sub017_pos-prone_scan-1.mha,2,216.0,4
sub018_pos-supine_scan-1.mha,1,1569419.0,2444
sub022_pos-supine_scan-1.mha,1,2793626.0,62576
sub024_pos-supine_scan-1.mha,1,1273382.0,13422
sub024_pos-prone_scan-1.mha,1,2427.0,79
sub024_pos-prone_scan-1.mha,2,1275572.0,25297
sub026_pos-supine_scan-1.mha,1,2020844.0,5136
