Filename,Component,Volume,Centerline Length
001_pos-prone_colon_segmentation_v2.mha,1,464153.80859375,1058
001_pos-prone_colon_segmentation_v2.mha,2,7516.6015625,48
001_pos-prone_colon_segmentation_v2.mha,3,772980.95703125,4871
001_pos-prone_colon_segmentation_v2.mha,4,397719.23828125,2754
002_pos-prone_colon_segmentation_v2.mha,1,2789576.66015625,14408
002_pos-supine_colon_segmentation_v2.mha,1,3154076.66015625,21426
006_pos-prone_colon_segmentation_v2.mha,1,675393.0222625732,7183
006_pos-prone_colon_segmentation_v2.mha,2,1712119.6503753662,10450
009_pos-prone_colon_segmentation_v2.mha,1,165902.67944335938,1034
009_pos-prone_colon_segmentation_v2.mha,2,12550.28076171875,127
009_pos-prone_colon_segmentation_v2.mha,3,2095.1950073242188,37
009_pos-prone_colon_segmentation_v2.mha,4,1055891.0709381104,3099
010_pos-supine_colon_segmentation_v2.mha,1,2847715.163896307,28764
010_pos-supine_colon_segmentation_v2.mha,2,107.01224559235465,71
011_pos-prone_colon_segmentation_v2.mha,1,803422.2365173862,1825
011_pos-prone_colon_segmentation_v2.mha,2,608999.0285905923,2209
011_pos-supine_colon_segmentation_v2.mha,1,440438.0066338848,2602
011_pos-supine_colon_segmentation_v2.mha,2,861150.9418841553,2934
011_pos-supine_colon_segmentation_v2.mha,3,73015.72391766866,190
012_pos-supine_colon_segmentation_v2.mha,1,1995046.799218487,20243
013_pos-prone_colon_segmentation_v2.mha,1,448026.3671875,1595
013_pos-prone_colon_segmentation_v2.mha,2,6905.2734375,36
013_pos-prone_colon_segmentation_v2.mha,3,1557161.1328125,16363
013_pos-supine_colon_segmentation_v2.mha,1,697491.2109375,6727
013_pos-supine_colon_segmentation_v2.mha,2,1421100.09765625,10737
014_pos-prone_colon_segmentation_v2.mha,1,770084.3830078127,3050
014_pos-prone_colon_segmentation_v2.mha,2,882.5531738281252,29
014_pos-prone_colon_segmentation_v2.mha,3,203311.58320312505,1481
015_pos-supine_colon_segmentation_v2.mha,1,2357450.471191406,5276
018_pos-prone_colon_segmentation_v2.mha,1,668433.0023010252,2573
018_pos-prone_colon_segmentation_v2.mha,2,684089.6368408202,3557
019_pos-prone_colon_segmentation_v2.mha,1,1953764.9416015628,7905
019_pos-supine_colon_segmentation_v2.mha,1,1949941.758496094,5750
042_pos-supine_colon_segmentation_v2.mha,1,1346283.3076049811,32297
048_pos-prone_colon_segmentation_v2.mha,1,1141930.5252014163,5710
051_pos-supine_colon_segmentation_v2.mha,1,2280157.2567233103,11735
055_pos-prone_colon_segmentation_v2.mha,1,128554.39473047858,4340
055_pos-prone_colon_segmentation_v2.mha,2,1980429.9693542304,13369
055_pos-prone_colon_segmentation_v2.mha,3,117.49254766196654,12
055_pos-prone_colon_segmentation_v2.mha,4,722.5028742589761,41
055_pos-prone_colon_segmentation_v2.mha,5,117.49254766196654,7
055_pos-prone_colon_segmentation_v2.mha,6,28056.304855332197,408
060_pos-supine_colon_segmentation_v2.mha,1,1431556.755770874,14694
063_pos-prone_colon_segmentation_v2.mha,1,1208355.4406738284,9630
063_pos-prone_colon_segmentation_v2.mha,2,344.3035888671876,18
